feature,importance
gasto_ultimo_mes,0.22880944955224394
monetary,0.1547747101744521
recency,0.10293356657682592
frequency,0.09443060142184088
satisfaccion,0.06696712178198228
margen_real_pct,0.06191833274863708
dias_ultima_compra,0.052741485057514075
dias_ultima_compra_calc,0.047171880661188895
beneficio_bruto,0.038116833420669086
meses_cliente,0.033545780578464815
tiempo_cliente,0.03281503563782348
tickets_soporte,0.031370077300545376
productos_diferentes,0.01297084521696257
num_transacciones_real,0.011547924639040558
canal_preferido_Tienda,0.008477591783653237
categoria_favorita_Smartphones,0.008053027234641894
categoria_favorita_Laptops,0.007696074382951999
categoria_favorita_Gaming,0.002927621072787574
canal_preferido_Online,0.001551796186689757
segmento_Regular,0.0011802444592734261
segmento_Premium,1.1181118495589687e-10
